season,round,race_name,circuitId,date,driverId,constructorId,grid,positionOrder,positionText,points,laps,status,fastestLapRank,scored_point,finished,grid_to_pos,qualifyingPos,q1_time_sec,q2_time_sec,q3_time_sec,best_quali_sec,quali_gap_pct,raceGrid,gridPenalty,gridPenaltyPlaces,pole_time_sec,circuit_name,locality,country,lat,lon,prevSeasonConstructorPos,prevSeasonConstructorPts,avg_air_temp_c,max_precip_mm,avg_wind_kph,rain_flag,totalPitStops,sc_laps_count,vsc_laps_count,pitted_under_sc,startingCompound,median_lap_sec,rollingAvgPos5,constructor_quality_quintile,era_pre2014,tyre_data_available
2003,1,Australian Grand Prix,albert_park,2003-03-09,coulthard,mclaren,11,1,1,10.0,58,Finished,,1,1,10.0,11.0,89.105,,,89.105,2.216282564555541,11.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,3.0,65.0,16.17,0.0,14.92,0,,,,,,,,4.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,montoya,williams,3,2,2,8.0,58,Finished,,1,1,1.0,3.0,88.101,,,88.101,1.0645498032647691,3.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2.0,92.0,16.17,0.0,14.92,0,,,,,,,,2.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,raikkonen,mclaren,15,3,3,6.0,58,Finished,,1,1,12.0,15.0,89.47,,,89.47,2.6349901919172183,15.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,3.0,65.0,16.17,0.0,14.92,0,,,,,,,,4.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,michael_schumacher,ferrari,1,4,4,5.0,58,Finished,,1,1,-3.0,1.0,87.173,,,87.173,0.0,1.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,1.0,221.0,16.17,0.0,14.92,0,,,,,,,,1.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,trulli,renault,12,5,5,4.0,58,Finished,,1,1,7.0,12.0,89.136,,,89.136,2.251844034276661,12.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,4.0,23.0,16.17,0.0,14.92,0,,,,,,,,4.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,frentzen,sauber,4,6,6,3.0,58,Finished,,1,1,-2.0,4.0,88.274,,,88.274,1.2630057471923637,4.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,5.0,11.0,16.17,0.0,14.92,0,,,,,,,,2.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,alonso,renault,10,7,7,2.0,58,Finished,,1,1,3.0,10.0,88.928,,,88.928,2.0132380438897317,10.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,4.0,23.0,16.17,0.0,14.92,0,,,,,,,,3.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,ralf_schumacher,williams,9,8,8,1.0,58,Finished,,1,1,1.0,9.0,88.83,,,88.83,1.900817913803582,9.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2.0,92.0,16.17,0.0,14.92,0,,,,,,,,3.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,villeneuve,bar,6,9,9,0.0,58,Finished,,0,1,-3.0,6.0,88.42,,,88.42,1.4304887981370376,6.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,8.0,7.0,16.17,0.0,14.92,0,,,,,,,,3.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,button,bar,8,10,10,0.0,58,Finished,,0,1,-2.0,8.0,88.682,,,88.682,1.731040574489808,8.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,8.0,7.0,16.17,0.0,14.92,0,,,,,,,,3.0,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,verstappen,minardi,20,11,11,0.0,57,+1 Lap,,0,1,9.0,20.0,,,,,,20.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,9.0,2.0,16.17,0.0,14.92,0,,,,,,,,,1,0
2003,1,Australian Grand Prix,albert_park,2003-03-09,fisichella,jordan,13,12,R,0.0,52,Gearbox,,0,0,1.0,13.0,89.344,,,89.344,2.4904500246635908,13.0,0.0,0.0,87.173,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,6.0,9.0,16.17,0.0,14.92,0,,,,,,,,4.0,1,0
